,class,n1,n2
11227,1,7606,2418
11228,1,9768,6727
11229,-1,31832,31140
11230,1,33213,32563
11231,-1,27019,24597
11232,-1,10227,7479
11233,-1,6262,1644
11234,-1,5876,442
11235,1,6216,1050
11236,-1,13014,11696
11237,1,21654,19785
11238,-1,9070,3026
11239,1,27590,26623
11240,-1,21668,20494
11241,-1,33498,32987
11242,1,29963,29320
11243,-1,6032,406
11244,1,20529,18939
11245,-1,29341,28327
11246,-1,32608,32459
11247,1,27560,26118
11248,-1,27615,26359
11249,-1,25734,24032
11250,-1,30241,28802
11251,-1,31356,30809
11252,1,30346,29903
11253,-1,3889,1418
11254,1,13149,10850
11255,1,20919,19409
11256,1,31514,30532
11257,1,15769,13755
11258,-1,28292,26653
11259,-1,32334,31994
11260,1,31494,30698
11261,1,17262,17408
11262,1,23597,21635
11263,-1,22559,19935
11264,1,2226,262
11265,1,8131,2685
11266,1,24604,23790
11267,-1,16577,12647
11268,-1,25341,22950
11269,1,2200,50
11270,1,31852,31651
11271,1,2713,1645
11272,-1,22956,22488
11273,-1,16545,13069
11274,-1,28575,27608
11275,-1,31027,30381
11276,-1,6478,3274
11277,1,29232,28168
11278,1,22088,20975
11279,1,20088,19556
11280,1,991,1297
11281,1,21675,20850
11282,-1,28308,26518
11283,-1,25369,23627
11284,1,846,114
11285,1,28914,27453
11286,-1,30993,29657
11287,1,16633,15719
11288,-1,29786,28695
11289,1,1143,95
11290,1,22543,25718
11291,-1,27922,26669
11292,-1,9057,4904
11293,1,391,147
11294,1,29160,28027
11295,-1,11203,6106
11296,-1,33551,32957
11297,1,8496,5352
11298,-1,24988,23018
11299,1,26075,25435
11300,1,23105,22604
11301,1,19760,18302
11302,1,22848,20668
11303,1,27477,26469
11304,1,20137,18830
11305,1,5162,1048
11306,1,28878,27723
11307,-1,27597,26623
11308,-1,12091,3220
11309,-1,1344,268
11310,-1,28287,26203
11311,1,21164,22165
11312,1,32772,32390
11313,1,24382,22210
11314,-1,23395,22753
11315,-1,4134,875
11316,-1,27112,25201
11317,-1,27501,26489
11318,-1,26775,24634
11319,1,25290,23823
11320,-1,26155,24690
11321,-1,12131,6101
11322,-1,7131,4835
11323,1,19825,19391
11324,-1,4213,1976
11325,-1,9214,8298
11326,1,21931,21059
11327,1,25176,23711
11328,-1,32235,31844
11329,1,34304,34152
11330,-1,9005,6304
11331,1,955,149
11332,-1,31207,30972
11333,-1,31344,30471
11334,1,19764,18484
11335,1,33545,32957
11336,1,25386,23734
11337,1,13522,10392
11338,-1,33556,32977
11339,1,1649,116
11340,1,25589,23010
11341,-1,14005,10242
11342,1,31434,30551
11343,-1,5686,1135
11344,-1,8967,5411
11345,-1,28454,27598
11346,-1,31510,30652
11347,1,26469,24718
11348,1,11240,4679
11349,1,29808,28468
11350,1,29701,28789
11351,1,6242,763
11352,-1,23116,22468
11353,-1,4152,2154
11354,1,26801,25379
11355,-1,14601,10420
11356,1,2352,1355
11357,1,21990,20600
11358,1,10690,5244
11359,-1,23978,22210
11360,1,19778,18293
11361,-1,21848,21310
11362,1,15862,14224
11363,-1,23718,21925
11364,1,33580,33153
11365,-1,32355,32218
11366,-1,24852,23357
11367,-1,850,114
11368,-1,28239,26976
11369,1,31240,30973
11370,1,23366,21452
11371,1,17652,16992
11372,1,8915,4784
11373,-1,32473,32203
11374,-1,12821,10848
11375,-1,16192,13012
11376,1,27565,26315
11377,1,33277,32690
11378,1,33932,33657
11379,1,17648,17235
11380,1,33966,33845
11381,1,22703,20880
11382,1,1735,247
11383,1,5761,2183
11384,1,23543,21960
11385,1,33977,33614
11386,-1,32504,32179
11387,1,26328,24815
11388,1,31577,30933
11389,-1,33628,33132
11390,1,27248,26107
11391,1,17894,16729
11392,1,173,21
11393,-1,23172,21440
11394,1,34200,34008
11395,-1,14594,9354
11396,1,1057,292
11397,-1,7345,5217
11398,-1,32997,32669
11399,1,23304,21658
11400,1,3412,1755
11401,1,17647,18823
11402,-1,13178,10417
11403,-1,30927,29495
11404,1,13971,12482
11405,1,28288,26872
11406,1,33001,33423
11407,1,29283,28300
11408,-1,32170,32095
11409,-1,34125,33619
11410,-1,22867,21316
11411,-1,24876,22981
11412,1,189,9
11413,-1,25757,23947
11414,-1,21984,20487
11415,-1,25855,23805
11416,-1,4978,1135
11417,1,26703,24772
11418,1,4218,1434
11419,1,34131,33516
11420,-1,30700,29660
11421,-1,17640,16933
11422,1,32531,32601
11423,-1,27034,25685
11424,-1,27089,25639
11425,1,16777,23659
11426,-1,28774,28457
11427,1,26349,25337
11428,1,12105,5848
11429,1,32696,32489
11430,-1,11704,4490
11431,1,30771,30059
11432,1,21026,19034
11433,-1,27975,26713
11434,-1,26536,25496
11435,-1,27966,27167
11436,1,16963,15551
11437,-1,32689,32502
11438,-1,25289,23545
11439,-1,26340,25681
11440,1,1572,91
11441,-1,11898,2538
11442,-1,25596,24190
11443,-1,8636,4519
11444,-1,33878,33690
11445,1,18284,17610
11446,1,6952,3548
11447,-1,29531,29333
11448,-1,32414,32303
11449,-1,32692,32503
11450,-1,33010,32841
11451,-1,9999,6680
11452,-1,30763,29901
11453,-1,8271,5684
11454,-1,3248,776
11455,1,33001,32779
11456,-1,31979,31386
11457,-1,23893,22669
11458,1,939,7213
11459,1,4656,548
11460,1,28624,28147
11461,1,11729,3011
11462,1,31078,30944
11463,1,11677,4717
11464,1,30801,29657
11465,-1,25471,24005
11466,-1,26692,25809
11467,-1,25718,23434
11468,1,11039,5443
11469,1,30597,29703
11470,-1,30214,29148
11471,-1,28359,26682
11472,-1,15444,13541
11473,-1,11830,4254
11474,1,17965,16902
11475,-1,28643,27783
11476,1,32986,32573
11477,1,25486,22939
11478,-1,27634,26809
11479,-1,6693,3016
11480,1,10213,8814
11481,-1,2334,1522
11482,-1,27517,26376
11483,-1,26592,25152
11484,1,11884,5248
11485,-1,30029,29066
11486,1,17919,16868
11487,1,32124,31458
11488,-1,32029,31205
11489,-1,23949,21892
11490,-1,22716,21088
11491,-1,14738,10801
11492,1,24214,22724
11493,-1,25205,24427
11494,-1,28730,28103
11495,1,14142,11374
11496,-1,10904,2374
11497,1,26414,25439
11498,-1,29509,28954
11499,-1,12266,6125
11500,-1,27494,26531
11501,-1,24934,23794
11502,1,32744,32395
11503,-1,29453,29065
11504,1,3937,1294
11505,-1,27246,26526
11506,1,3899,1851
11507,-1,27828,26919
11508,1,32409,32327
11509,1,19510,22543
11510,1,25623,24062
11511,-1,21871,20564
11512,-1,3151,2150
11513,-1,5954,793
11514,-1,11260,3488
11515,1,20774,18397
11516,-1,28700,28002
11517,1,31228,30691
11518,1,31106,30867
11519,-1,31281,30711
11520,1,27583,26230
11521,-1,3727,1063
11522,-1,3643,1796
11523,1,9852,6496
11524,-1,11086,5236
11525,1,3873,1641
11526,1,7446,3805
11527,-1,3334,458
11528,-1,29973,28896
11529,1,32310,31994
11530,-1,23209,22261
11531,-1,11999,5473
11532,1,4952,1808
11533,1,6771,2288
11534,1,12793,12134
11535,1,2949,1275
11536,1,24339,22066
11537,1,34308,33840
11538,1,23413,22921
11539,1,19431,17711
11540,1,17471,17328
11541,1,16307,12725
11542,1,14530,9163
11543,-1,26822,24990
11544,-1,10405,2484
11545,1,3137,1723
11546,-1,31392,30632
11547,-1,24748,23591
11548,1,33173,32754
11549,-1,5141,1016
11550,-1,30729,30119
11551,1,7673,4106
11552,1,30866,29657
11553,-1,34339,34132
11554,1,25174,24121
11555,-1,29147,27917
11556,-1,32663,32448
11557,1,33643,32883
11558,-1,27963,26601
11559,-1,1682,71
11560,1,21394,20922
11561,-1,22152,21135
11562,-1,24062,22110
11563,1,18891,21040
11564,-1,7652,5653
11565,-1,12774,12304
11566,1,26963,24718
11567,1,31741,31547
11568,1,18840,17667
11569,1,1259,277
11570,-1,14551,9464
11571,1,16651,16407
11572,1,7739,2882
11573,1,11042,3020
11574,1,17759,18857
11575,1,9379,7684
11576,1,28913,27393
11577,-1,29260,27174
11578,1,5872,380
11579,1,31357,30311
11580,1,34232,34090
11581,-1,27337,26100
11582,1,2049,51
11583,1,26831,26870
11584,1,31790,31647
11585,-1,25095,23448
11586,-1,27415,26870
11587,-1,3532,726
11588,-1,25820,23435
11589,-1,11607,8482
11590,1,24599,23046
11591,-1,7038,4416
11592,1,12936,10073
11593,1,15609,13449
11594,1,25703,23186
11595,-1,9681,8510
11596,1,14887,12096
11597,1,2073,268
11598,-1,30699,29762
11599,1,2942,1146
11600,1,26875,24721
11601,1,6970,4675
11602,1,32510,32158
11603,1,9656,6757
11604,1,29206,28031
11605,1,17914,16966
11606,-1,21829,19920
11607,1,9657,6776
11608,1,2100,4958
11609,-1,4476,1370
11610,-1,19627,17946
11611,-1,26709,25332
11612,1,14340,10791
11613,-1,28170,26157
11614,1,22398,20802
11615,-1,30248,29678
11616,-1,29412,28268
11617,-1,31872,31384
11618,-1,24160,22843
11619,1,19619,18981
11620,1,32700,32366
11621,1,30363,29790
11622,1,32342,32247
11623,1,32883,33212
11624,-1,27093,24605
11625,1,17014,15132
11626,1,22628,20674
11627,1,5893,672
11628,-1,24537,23977
11629,-1,34229,34049
11630,-1,30678,29880
11631,-1,22329,19938
11632,1,23412,22044
11633,-1,24594,23706
11634,-1,27414,26141
11635,1,3478,2122
11636,1,18922,17306
11637,-1,26609,24743
11638,1,26764,25139
11639,1,22314,20688
11640,1,27758,26359
11641,-1,13136,11374
11642,1,8435,5536
11643,1,23604,22604
11644,1,26925,25622
11645,-1,25110,23575
11646,1,19720,18952
11647,-1,4744,2117
11648,-1,198,6446
11649,1,26331,24779
11650,1,21891,20248
11651,1,19955,18275
11652,-1,3201,1021
11653,-1,4269,1755
11654,-1,1698,198
11655,1,10520,5759
11656,1,29757,28894
11657,-1,27317,27037
11658,1,26526,25589
11659,1,28698,27825
11660,-1,34014,33764
11661,1,10739,5880
11662,1,24482,21916
11663,1,15938,14027
11664,1,27273,26046
11665,-1,26890,24698
11666,1,29401,27171
11667,-1,3950,2221
11668,-1,2676,607
11669,-1,26102,24732
11670,1,1411,272
11671,-1,25531,23635
11672,1,6660,2482
11673,1,15345,13685
11674,-1,24913,23477
11675,-1,9844,6778
11676,1,30947,29781
11677,1,7673,7379
11678,1,19057,17741
11679,1,31992,31458
11680,-1,2930,1925
11681,-1,27822,26509
11682,1,14646,10306
11683,-1,30111,28734
11684,1,17487,16796
11685,-1,12092,5147
11686,-1,26729,25681
11687,1,23337,22925
11688,1,20192,18627
11689,1,24243,22288
11690,-1,27314,29274
11691,-1,16038,13510
11692,-1,24807,23914
11693,1,7672,5693
11694,-1,23470,22330
11695,1,7533,3505
11696,1,15582,12647
11697,-1,21700,20229
11698,1,17540,17238
11699,1,27473,26754
11700,-1,30345,29952
11701,-1,11313,6241
11702,-1,24068,22865
11703,-1,21669,20500
11704,-1,23535,22885
11705,-1,30897,30117
11706,1,26902,25065
11707,1,9574,7410
11708,1,5228,2109
11709,1,33967,33715
11710,-1,16120,14348
11711,-1,27568,26564
11712,-1,12286,4691
11713,-1,29759,28640
11714,1,27197,26963
11715,1,1451,233
11716,1,4128,1810
11717,-1,32228,31992
11718,1,29724,28749
11719,1,13218,9807
11720,-1,27411,26866
11721,-1,26089,24718
11722,-1,30857,29810
11723,1,19104,17638
11724,-1,31680,30457
11725,-1,14228,10801
11726,-1,22974,22501
11727,-1,32412,32232
11728,1,15882,13638
11729,1,28502,28036
11730,1,2263,1691
11731,-1,26746,24560
11732,-1,24096,22478
11733,1,33958,33614
11734,-1,4931,1418
11735,-1,34170,33930
11736,-1,33141,32689
11737,-1,26503,25159
11738,1,22113,20854
11739,1,10849,14392
11740,-1,8976,2943
11741,1,33637,33124
11742,1,23001,22653
11743,1,32268,31992
11744,1,32954,32830
11745,1,20244,22448
11746,-1,8560,4853
11747,1,31326,30666
11748,1,33320,33008
11749,1,9169,7416
11750,-1,31623,30972
11751,-1,29588,28896
11752,1,21611,19963
11753,1,13147,11679
11754,1,18695,17511
11755,-1,9009,3751
11756,1,2152,152
11757,-1,30331,29644
11758,1,30216,28907
11759,1,29396,27171
11760,1,26788,24855
11761,1,3187,1159
11762,-1,32445,32475
11763,-1,12280,5084
11764,1,22567,20742
11765,1,26046,24647
11766,-1,5639,600
11767,-1,8662,4512
11768,1,27365,25993
11769,-1,29009,27767
11770,-1,5232,1075
11771,1,12109,5848
11772,1,27233,26546
11773,-1,30811,30032
11774,-1,4824,1738
11775,-1,28676,28083
11776,1,17558,16638
11777,1,26973,25390
11778,-1,11063,6222
11779,-1,30472,29495
11780,1,4375,6289
11781,1,21695,20055
11782,1,29613,29233
11783,1,17114,15914
11784,-1,26787,24737
11785,1,14685,12334
11786,1,20564,18506
11787,1,5759,3359
11788,1,30411,29963
11789,1,20509,18767
11790,1,33407,33257
11791,1,21899,20330
11792,-1,29269,27346
11793,1,7386,5383
11794,1,33367,33296
11795,-1,34244,34140
11796,1,30720,29938
11797,1,33065,32724
11798,-1,28895,27430
11799,1,18000,16638
11800,-1,23828,22032
11801,-1,31870,31278
11802,-1,7765,3360
11803,1,10151,7118
11804,-1,28493,29027
11805,1,1671,267
11806,-1,32298,31723
11807,-1,26805,25577
11808,-1,11550,5838
11809,1,9962,6981
11810,1,7529,6071
11811,-1,28007,26645
11812,1,28813,28210
11813,1,22349,21143
11814,-1,22895,20482
11815,1,18304,17298
11816,-1,29246,27323
11817,-1,28833,27486
11818,-1,5828,12022
11819,-1,4791,2148
11820,-1,17405,17012
11821,1,17326,16639
11822,-1,33126,32736
11823,-1,24086,22566
11824,1,17732,17213
11825,-1,27637,26715
11826,1,17742,16734
11827,-1,27775,26545
11828,1,17888,19260
11829,1,17843,23662
11830,-1,24215,21856
11831,1,24009,21589
11832,1,9570,7406
11833,1,7982,3831
11834,1,33381,33132
11835,-1,8286,5979
11836,-1,26865,25043
11837,-1,14837,9502
11838,1,22729,21169
11839,1,14141,10703
11840,-1,31977,31118
11841,-1,23252,22221
11842,-1,21805,20190
11843,-1,14636,12312
11844,1,21311,18330
11845,-1,30106,28722
11846,1,19510,21131
11847,1,17583,17240
11848,1,19321,17888
11849,1,34164,33845
11850,1,23763,25221
11851,1,13414,10886
11852,1,28404,25951
11853,-1,25350,23904
11854,-1,28538,27716
11855,-1,23303,22793
11856,1,12910,12331
11857,1,23675,22102
11858,-1,1393,260
11859,1,27628,27802
11860,-1,24900,24290
11861,1,19269,17320
11862,-1,13420,11249
11863,1,32377,32158
11864,-1,34109,33684
11865,-1,31219,30502
11866,1,2158,6200
11867,1,10334,7948
11868,-1,7471,4813
11869,1,17134,15175
11870,-1,3645,1853
11871,1,1248,69
11872,1,27714,26233
11873,1,17362,16796
11874,1,19116,17708
11875,-1,6932,6191
11876,1,29014,28360
11877,1,25872,24048
11878,1,15072,11981
11879,1,28362,26340
11880,-1,27520,26613
11881,1,8239,6356
11882,1,29257,27325
11883,-1,27021,25460
11884,-1,28834,27575
11885,-1,30450,29660
11886,1,24696,23158
11887,1,23600,22222
11888,-1,25676,22985
11889,-1,26889,25306
11890,1,18574,17908
11891,1,5705,1111
11892,-1,5772,1979
11893,1,8018,3102
11894,-1,29272,27518
11895,-1,23885,21448
11896,1,21294,19685
11897,-1,26817,24725
11898,1,5238,670
11899,1,2264,2221
11900,1,26933,25191
11901,1,27195,26125
11902,1,24908,23312
11903,-1,11771,2882
11904,1,13120,11746
11905,1,33104,32861
11906,-1,23024,21534
11907,1,2475,508
11908,-1,30050,29176
11909,1,5510,1696
11910,1,19558,17891
11911,1,26630,24992
11912,1,2558,1691
11913,1,18462,19362
11914,-1,30129,28702
11915,1,28209,26244
11916,1,33320,32784
11917,1,4710,1278
11918,-1,25477,23894
11919,1,8042,4266
11920,1,28960,27806
11921,1,7747,2413
11922,1,11471,6148
11923,-1,30691,29889
11924,1,18521,17817
11925,-1,31377,30300
11926,1,21517,20672
11927,-1,10044,7253
11928,1,24478,21604
11929,-1,27074,25795
11930,1,17089,15351
11931,1,27092,24549
11932,-1,31942,31713
11933,-1,29877,28495
11934,-1,26360,24719
11935,1,32113,31269
11936,-1,22354,20733
11937,1,19524,17338
11938,1,5648,1723
11939,1,3365,1668
11940,1,27103,25599
11941,-1,27381,26623
11942,1,15797,12647
11943,1,24721,23194
11944,-1,23483,22210
11945,1,19836,19327
11946,1,10974,8434
11947,-1,27550,26829
11948,1,33674,33229
11949,-1,22476,20226
11950,1,30448,29662
11951,1,32730,32475
11952,-1,4919,1809
11953,-1,10999,5254
11954,-1,289,24
11955,-1,33475,33314
11956,-1,32419,32131
11957,1,15456,13790
11958,1,32204,31848
11959,-1,989,131
11960,-1,28475,28233
11961,1,24642,23694
11962,-1,3854,1707
11963,-1,32198,31870
11964,-1,3013,1439
11965,-1,24701,24207
11966,1,9858,7699
11967,1,25261,24239
11968,1,32207,31896
11969,-1,16540,14655
11970,1,22664,21110
11971,-1,28578,27228
11972,-1,789,220
11973,1,2458,588
11974,1,31068,30500
11975,-1,32296,31974
11976,1,29433,28322
11977,1,20844,18822
11978,1,2678,2146
11979,1,24070,22864
11980,-1,32924,32513
11981,1,30217,28587
11982,1,27651,26230
11983,-1,32714,32425
11984,-1,7143,6374
11985,1,4900,563
11986,-1,24816,23871
11987,-1,25663,23091
11988,1,6709,6036
11989,-1,13621,9240
11990,-1,30130,28581
11991,-1,33574,32955
11992,-1,9256,7344
11993,-1,29070,27736
11994,1,32408,32196
11995,-1,30999,30119
11996,-1,29638,29778
11997,-1,25029,23112
11998,-1,30174,28652
11999,-1,26041,24611
12000,1,607,62
12001,-1,24016,21392
12002,1,23449,22110
12003,1,19183,17326
12004,-1,32302,32128
12005,-1,32686,32485
12006,-1,9067,4916
12007,1,25544,23658
12008,1,11798,10767
12009,-1,23428,21534
12010,-1,9220,8317
12011,1,17895,16638
12012,-1,33428,33133
12013,1,13019,12315
12014,-1,23706,22110
12015,-1,29264,27595
12016,1,21717,20221
12017,-1,11573,5880
12018,1,1166,280
12019,1,16833,15338
12020,-1,9111,4496
12021,1,26803,26146
12022,1,28602,27480
12023,-1,5983,2154
12024,1,30252,30000
12025,-1,34196,34129
12026,1,7081,2503
12027,-1,6327,2159
12028,1,1325,174
12029,1,22023,20402
12030,1,27401,26656
12031,1,23857,21470
12032,1,30287,30846
12033,-1,27421,26185
12034,-1,26489,25142
12035,1,23044,22283
12036,1,9408,8950
12037,-1,27385,25962
12038,1,6957,3805
12039,-1,31188,30931
12040,-1,22086,20921
12041,1,28495,27391
12042,-1,8256,3299
12043,1,19276,18228
12044,-1,22029,20741
12045,-1,30148,28695
12046,-1,22360,20994
12047,-1,18036,16859
12048,-1,1725,248
12049,-1,3582,1254
12050,-1,32185,31714
12051,1,5479,2173
12052,-1,31561,32327
12053,1,32731,32475
12054,-1,32790,32469
12055,1,1209,147
12056,1,30417,30007
12057,1,29351,28231
12058,-1,32057,31196
12059,1,2399,2189
12060,1,15527,13286
12061,-1,29372,27922
12062,1,24396,21653
12063,1,28599,28199
12064,1,7001,2298
12065,1,21932,20482
12066,1,19536,18661
12067,1,9979,7194
12068,-1,27869,26861
12069,1,6490,2343
12070,1,28414,26686
12071,1,33562,33310
12072,1,4323,508
12073,1,4597,1989
12074,1,31428,30698
12075,-1,28944,28427
12076,-1,29812,28555
12077,-1,25121,23914
12078,-1,24878,23404
12079,1,23334,22659
12080,-1,11316,2595
12081,-1,24975,23146
12082,1,23671,22142
12083,1,24240,22288
12084,-1,6743,4118
12085,1,23168,22148
12086,1,10804,6474
12087,-1,25668,22996
12088,-1,24625,24385
12089,1,14270,10769
12090,-1,28641,28457
12091,1,2882,2080
12092,1,32684,32399
12093,-1,10605,8344
12094,-1,27066,25915
12095,1,29059,27957
12096,1,11204,4747
12097,-1,29006,27213
12098,-1,34337,33815
12099,1,28671,28098
12100,-1,31132,30402
12101,1,14963,11310
12102,1,18991,17677
12103,1,20210,18790
12104,1,34239,34010
12105,1,19463,17916
12106,-1,27231,26497
12107,1,28780,28408
12108,-1,25864,23084
12109,-1,2371,1256
12110,1,23462,21567
12111,1,2856,2032
12112,1,10547,5027
12113,-1,33789,33007
12114,-1,9267,7047
12115,-1,23516,21663
12116,-1,10274,8437
12117,-1,11058,7194
12118,-1,2346,1080
12119,1,29476,29220
12120,1,21561,20802
12121,1,32488,32153
12122,1,33132,32572
12123,1,16479,14892
12124,1,5551,1644
12125,-1,16788,15688
12126,1,33322,33128
12127,-1,7683,3398
12128,-1,27149,28129
12129,1,29775,29351
12130,1,29819,28857
12131,-1,1603,226
12132,-1,31625,30948
12133,1,19418,17278
12134,-1,4730,1467
12135,1,15562,14114
12136,1,17294,20987
12137,-1,27432,26190
12138,-1,29046,27935
12139,1,27917,26670
12140,-1,24499,21476
12141,-1,27428,26205
12142,-1,27812,27131
12143,1,22976,22251
12144,1,4095,1322
12145,-1,30715,29917
12146,1,178,21
12147,-1,8385,2857
12148,-1,10977,4010
12149,-1,14651,10927
12150,1,17196,15197
12151,-1,5267,5910
12152,1,20905,18404
12153,1,17787,16777
12154,1,19709,18874
12155,1,3997,1805
12156,1,3937,2205
12157,-1,22596,21232
12158,-1,25069,23836
12159,-1,30660,29718
12160,-1,5294,1127
12161,-1,5008,1322
12162,1,2178,64
12163,1,2233,200
12164,-1,31747,31040
12165,-1,24464,21546
12166,-1,4914,1933
12167,-1,5463,668
12168,1,1297,255
12169,-1,8180,5127
12170,1,27325,26973
12171,-1,33906,33692
12172,1,22940,21865
12173,-1,26267,25498
12174,1,5300,1724
12175,1,7352,3644
12176,1,24884,23689
12177,-1,29632,29409
12178,-1,28509,28164
12179,1,34333,34051
12180,-1,32429,32150
12181,1,29653,29074
12182,1,22493,20474
12183,-1,29687,29039
12184,1,28883,27916
12185,1,12374,2396
12186,1,14096,11274
12187,-1,19081,17689
12188,1,13481,11704
12189,1,30273,29797
12190,1,19819,21871
12191,-1,5315,464
12192,-1,31626,30662
12193,1,33018,32807
12194,-1,31185,30844
12195,1,2502,14477
12196,-1,27271,26724
12197,-1,14452,12428
12198,1,7267,5684
12199,-1,1080,153
12200,-1,3656,1467
12201,1,11652,5536
12202,1,23060,22184
12203,1,4877,318
12204,-1,24077,22158
12205,1,15499,13151
12206,-1,32301,31884
12207,-1,25245,24464
12208,1,17328,16636
12209,1,10202,6980
12210,1,34184,34060
12211,-1,867,205
12212,1,18583,17746
12213,-1,31245,30435
12214,1,30596,29901
12215,1,13227,12579
12216,1,29486,29137
12217,1,33483,33170
12218,1,11048,5795
12219,1,7268,4274
12220,-1,32530,32601
12221,1,32710,32436
12222,-1,32638,32384
12223,-1,31624,30442
12224,1,13162,11034
12225,-1,33624,33038
12226,1,4998,2146
12227,1,5173,1179
12228,1,10582,5025
12229,1,26803,25421
12230,-1,9821,7980
12231,-1,27955,26428
12232,1,33024,32821
12233,1,2835,8746
12234,-1,6799,2412
12235,1,26052,24718
12236,1,15821,14226
12237,1,6066,1649
12238,-1,26376,24683
12239,1,7802,4446
12240,-1,27873,27262
12241,1,33875,33543
12242,1,3681,1437
12243,-1,1936,80
12244,1,26191,25321
12245,1,34069,33742
12246,-1,25302,23543
12247,-1,22454,20443
12248,-1,31393,30363
12249,1,34162,33962
12250,1,14305,11030
12251,-1,34358,34299
12252,1,18732,17625
12253,-1,28434,26293
12254,-1,32509,32189
12255,-1,32018,31121
12256,1,29210,27228
12257,1,21396,24082
12258,-1,22533,20297
12259,1,5786,531
12260,1,19975,18725
12261,-1,6226,510
12262,1,15584,13178
12263,1,15445,14688
12264,-1,25979,25171
12265,1,3138,728
12266,-1,8393,5284
12267,-1,12934,11369
12268,-1,26328,29086
12269,1,23051,22252
12270,1,22598,20392
12271,-1,11239,4108
12272,1,22037,21106
12273,1,31437,30901
12274,1,5284,1400
12275,1,27411,27689
12276,-1,8264,4226
12277,1,19254,17576
12278,1,28655,28404
12279,-1,11690,8437
12280,1,29770,28450
12281,-1,29576,28600
12282,-1,23438,22859
12283,1,33697,32961
12284,-1,33045,32627
12285,1,23653,21654
12286,1,22926,21173
12287,-1,30807,30030
12288,-1,25115,23642
12289,1,18258,17989
12290,-1,3558,563
12291,-1,24771,23285
12292,1,2539,1248
12293,-1,24397,22091
12294,-1,24572,23463
12295,-1,28870,28344
12296,1,12800,10509
12297,1,24744,23224
12298,1,2064,44
12299,1,4774,1558
12300,1,27694,26670
12301,-1,30015,29019
12302,1,18736,17515
12303,-1,24391,22404
12304,1,32915,33083
12305,-1,30054,28843
12306,1,17335,22312
12307,1,13041,10282
12308,1,15006,12361
12309,-1,27972,26870
12310,1,30752,29646
12311,-1,30226,29144
12312,1,1734,247
12313,-1,30443,30209
12314,-1,28025,29189
12315,1,31764,31604
12316,-1,32501,32131
12317,-1,22119,20210
12318,1,27502,26820
12319,-1,466,232
12320,-1,214,7
12321,1,16770,16338
12322,1,8067,5597
12323,1,22098,20156
12324,1,13644,9969
12325,1,4936,831
12326,1,26872,25779
12327,1,28572,27406
12328,-1,22964,22102
12329,1,25959,24753
12330,1,756,115
12331,1,23492,22659
12332,1,32123,31741
12333,1,11213,8352
12334,-1,33803,33121
12335,-1,10544,5020
12336,1,17009,16226
12337,1,29081,27967
12338,-1,33424,33212
12339,1,9217,8048
12340,1,6240,8804
12341,1,33660,32883
12342,-1,32589,32394
12343,-1,11979,8167
12344,1,32896,32695
12345,1,20247,18592
12346,-1,27570,26086
12347,-1,1342,153
12348,-1,24309,22147
12349,1,32907,32607
12350,1,13042,11680
12351,-1,5808,564
12352,-1,26167,25196
12353,1,22660,19742
12354,-1,7118,6086
12355,-1,9909,8892
12356,-1,16585,14194
12357,-1,24196,22321
12358,1,27378,26430
12359,1,33461,33092
12360,1,12403,8943
12361,1,33266,32603
12362,-1,32357,32142
12363,-1,7090,4647
12364,1,25004,23504
12365,-1,34015,33475
12366,-1,1862,12943
12367,-1,30372,29833
12368,-1,33133,32832
12369,-1,27924,27054
12370,1,19432,23590
12371,1,23614,22670
12372,-1,32669,32393
12373,1,17237,16264
12374,-1,164,17
12375,1,34296,34186
12376,-1,1788,71
12377,-1,25849,24101
12378,1,8152,11459
12379,1,31497,30280
12380,-1,31604,30763
12381,1,28054,26005
12382,-1,23640,22044
12383,-1,12503,7946
12384,-1,31768,31327
12385,1,30385,30142
12386,1,23525,21689
12387,1,25923,24506
12388,-1,26135,25142
12389,1,8683,4416
12390,1,1047,266
12391,1,17136,15190
12392,1,17453,16636
12393,-1,33301,32722
12394,-1,3643,1908
12395,1,10420,7826
12396,-1,8288,3006
12397,-1,31293,30673
12398,1,23958,22100
12399,1,28554,30773
12400,-1,26905,25601
12401,1,2683,640
12402,-1,23616,22025
12403,1,7095,5624
12404,1,10027,8429
12405,-1,29032,27407
12406,1,26578,25059
12407,1,8768,5628
12408,1,24242,22288
12409,1,33976,33702
12410,1,8767,4173
12411,-1,26831,24718
12412,-1,31051,30301
12413,1,28367,27102
12414,1,31933,31199
12415,-1,29978,28633
12416,1,17931,15415
12417,1,25299,23830
12418,1,19016,18126
12419,1,4848,1352
12420,1,33682,33234
12421,-1,14798,10158
12422,-1,32604,32388
12423,-1,5291,1743
12424,-1,32060,31252
12425,1,10166,8740
12426,-1,25865,24448
12427,-1,33060,32641
12428,1,11231,3982
12429,1,10761,5862
12430,-1,32832,32349
12431,1,336,149
12432,1,33156,33260
12433,1,33944,33698
12434,1,32387,32185
12435,-1,4917,1563
12436,1,770,13790
12437,1,20927,18898
12438,1,27404,26027
12439,1,33627,33235
12440,-1,15486,14524
12441,-1,26653,25337
12442,-1,28856,27519
12443,-1,9802,8920
12444,1,27316,27056
12445,-1,4001,1538
12446,-1,28186,25941
12447,-1,28420,26638
12448,-1,2911,688
12449,-1,1263,137
12450,-1,19537,18195
12451,-1,32320,32127
12452,1,12139,4078
12453,1,16081,12728
12454,1,16679,15159
12455,1,1354,116
