n,url,label
1100,"Le_parti_l%C3%A9niniste_est_le_parti_d%27une_avant-garde_autoproclam%C3%A9e","Le parti léniniste est le parti d'une avant-garde autoproclamée"
1101,"L%C3%A9nine_a_instaur%C3%A9_un_culte_du_chef","Lénine a instauré un culte du chef"
1102,"L%C3%A9nine_a_th%C3%A9oris%C3%A9_et_r%C3%A9alis%C3%A9_la_dictature_de_la_direction_bolch%C3%A9vik","Lénine a théorisé et réalisé la dictature de la direction bolchévik"
1103,"L%C3%A9nine_a_th%C3%A9oris%C3%A9_et_r%C3%A9alis%C3%A9_l%27%C3%A9puration_du_parti","Lénine a théorisé et réalisé l'épuration du parti"
1104,"Le_parti_bolch%C3%A9vik_avait_sa_milice_priv%C3%A9e","Le parti bolchévik avait sa milice privée"
1105,"L%C3%A9nine_a_construit_un_parti-%C3%89tat","Lénine a construit un parti-État"
1106,"Tous_les_partis_r%C3%A9volutionnaires_russes_%C3%A9taient_autoritaires_et_fortement_centralis%C3%A9s_avant_la_R%C3%A9volution_russe","Tous les partis révolutionnaires russes étaient autoritaires et fortement centralisés"
1107,"Les_pratiques_bureaucratiques_%C3%A9taient_enracin%C3%A9es_dans_la_soci%C3%A9t%C3%A9_russe","Les pratiques bureaucratiques étaient enracinées dans la société russe"
1108,"Le_m%C3%A9tissage_est_important","Le métissage est important"
1109,"leaf_207","L'identité concrète de la France, c'est déjà le métissage"
1110,"Il_n%27y_a_pas_d%27identit%C3%A9_fran%C3%A7aise_ou_europ%C3%A9enne","Il n'y a pas d'identité française ou européenne"
1111,"leaf_208","En n'accueillant pas les migrants, l'Europe perd son âme et trahit ses valeurs"
1112,"leaf_209","Si ils respectent les normes juridiques des pays européens, les migrants y ont toute leur place"
1113,"Les_paroles_sont_des_actes","Les paroles sont des actes"
1114,"Les_paroles_et_les_images_ne_sont_pas_des_actes","Les paroles et les images ne sont pas des actes"
1115,"Il_existe_des_violences_symboliques","Il existe des violences symboliques"
1116,"Seuls_les_pays_riches_sont_multiculturels","Seuls les pays riches sont multiculturels"
1117,"leaf_210","Le sens de l'histoire est au retour des identités"
1118,"leaf_211","Il n'y a pas de sens de l'histoire"
1119,"leaf_212","Beaucoup de migrants rêvent du capitalisme et vont le renforcer"
1120,"leaf_213","Peu de migrants ont des préoccupations écologiques"
1121,"leaf_214","Les valeurs des migrants viennent des sociétés patriarcales et non du progressisme"
1122,"leaf_215","Cet argument ne vaut que pour les chrétiens et yézidis, ou pour les opposants persécutés, pas pour tous les migrants"
1123,"leaf_216","Beaucoup ne sont que des migrants économiques"
1124,"leaf_217","On ne peut pas accueillir tous les gens en danger de mort de la planète"
1125,"Il_y_a_une_m%C3%AAme_doctrine_%C3%A9sot%C3%A9rique_derri%C3%A8re_les_religions","Il y a une même doctrine ésotérique derrière les religions"
1126,"Les_devoirs_moraux_des_religions_sont_semblables","Les devoirs moraux des religions sont semblables"
1127,"Diff%C3%A9rents_saints_et_mystiques_ont_affirm%C3%A9_l%27unit%C3%A9_des_religions","Différents saints et mystiques ont affirmé l'unité des religions"
1128,"La_lutte_contre_la_pauvret%C3%A9_passe_par_la_lutte_contre_les_in%C3%A9galit%C3%A9s","La nécessité d'une lutte contre les inégalités"
1129,"La_lutte_contre_la_pauvret%C3%A9_n%C3%A9cessite_un_accompagnement_par_des_personnes_form%C3%A9es_et_bienveillantes","La nécessité d'un accompagnement social"
1130,"R%C3%A9soudre_la_pauvret%C3%A9_par_un_revenu_de_base_pour_tous_est_peu_efficace","Un dispositif peu efficace"
1131,"Le_Front_national_n%27est_pas_fasciste_juste_parce_qu%27il_reprend_le_slogan_%22Ni_gauche,_ni_droite%22","Macron aussi serait alors fasciste"
1132,"Le_slogan_%22Ni_gauche,_ni_droite%22_est_typiquement_fasciste","Le slogan 'Ni gauche, ni droite' est typiquement fasciste"
1133,"Les_citoyens_fran%C3%A7ais_ne_votent_que_tous_les_cinq_ans","Les citoyens ne votent que tous les cinq ans"
1134,"Les_citoyens_n%27ont_pas_envie_de_voter_souvent","Manque d'envie des citoyens"
1135,"Le_concept_de_Dieu_est_une_invention_humaine","Le concept de Dieu est une invention humaine"
1136,"Dieu_est_une_invention","Dieu est une invention"
1137,"leaf_218","Le concept de Dieu est une création de l'évolution"
1138,"Le_r%C3%A9chauffement_climatique_ne_s%27observe_pas_sur_les_autres_plan%C3%A8tes_du_syst%C3%A8me_solaire","Le réchauffement climatique ne s'observe pas sur les autres planètes du système solaire"
1139,"Le_r%C3%A9chauffement_climatique_s%27observe_aussi_sur_Mars","Le réchauffement climatique s'observe aussi sur Mars"
1140,"Les_causes_du_r%C3%A9chauffement_de_Mars_sont_propres_%C3%A0_cette_plan%C3%A8te","Les causes du réchauffement de Mars sont propres à cette planète"
1141,"leaf_219","Le président de la République est élu par les citoyens"
1142,"La_Cinqui%C3%A8me_R%C3%A9publique_est_monarchique","Le pouvoir est entre les mains d'un président monarque"
1143,"leaf_220","Le PIB ne mesure pas le bien-être"
1144,"Une_baisse_du_PIB_n%27entraine_pas_forc%C3%A9ment_de_d%C3%A9t%C3%A9rioration_du_bien-%C3%AAtre","La baisse de la production ne signifie pas la détérioration du bien-être"
1145,"La_libert%C3%A9_de_consommer_du_cannabis_est_la_libert%C3%A9_de_devenir_esclave","La liberté de devenir esclave !"
1146,"Le_r%C3%A9chauffement_climatique_est_d%C3%BB_%C3%A0_l%27activit%C3%A9_solaire","Le réchauffement climatique est dû à l'activité solaire"
1147,"Le_r%C3%A9chauffement_climatique_a_des_causes_naturelles","Le réchauffement climatique a des causes naturelles"
1148,"%C3%80_la_sortie_de_la_Deuxi%C3%A8me_Guerre_mondiale,_la_CGT_n%27a_d%C3%A9clench%C3%A9_des_gr%C3%A8ves_que_lorsqu%27elle_%C3%A9tait_en_situation_de_les_contr%C3%B4ler","La CGT n'a déclenché des grèves que lorsqu'elle était en situation de les contrôler"
1149,"%C3%80_la_sortie_de_la_Deuxi%C3%A8me_Guerre_mondiale,_la_CGT_a_d%C3%A9clench%C3%A9_des_gr%C3%A8ves_dures","À la sortie de la Deuxième Guerre mondiale, la CGT a déclenché des grèves dures"
1150,"Les_hommes_ont_int%C3%A9r%C3%AAt_%C3%A0_en_finir_avec_le_sexisme","Les hommes ont intérêt à en finir avec le sexisme"
1151,"Les_femmes_ont_besoin_des_hommes_pour_en_finir_avec_le_sexisme","Les femmes ont besoin des hommes pour en finir avec le sexisme"
1152,"Les_hommes_sont_socialis%C3%A9s_pour_dominer_les_femmes","Les hommes sont socialisés pour dominer les femmes"
1153,"Les_hommes_n%27ont_aucun_int%C3%A9r%C3%AAt_%C3%A0_renoncer_%C3%A0_leurs_privil%C3%A8ges","Les hommes n'ont aucun intérêt à renoncer à leurs privilèges"
1154,"leaf_221","Les femmes doivent s'organiser par elles-mêmes"
1155,"leaf_222","L'Etat peut se retrouver en position d'avoir à céder sur les tarifs"
1156,"Un_m%C3%A9canisme_de_r%C3%A9gulation_des_tarifs_a%C3%A9roportuaires_est_pr%C3%A9vu","Un mécanisme de régulation est prévu"
1157,"L%C3%A9nine_%C3%A9tait_un_%C3%AAtre_parano%C3%AFaque","Lénine était paranoïaque"
1158,"L%C3%A9nine_%C3%A9tait_guid%C3%A9_par_la_volont%C3%A9_de_puissance","Lénine était guidé par la volonté de puissance"
1159,"M%C3%AAme_des_bolcheviks_avaient_d%C3%A9nonc%C3%A9_la_dimension_totalitaire_de_L%C3%A9nine","Même des bolcheviks avaient dénoncé sa dimension totalitaire"
1160,"En_fait_de_vengeance_il_%C3%A9pargna_en_1918_au_moins_la_veuve_d%27Alexandre_III,_Maria_Fedorovna,_ses_filles_Olga,_Xenia","En fait de vengeance il épargna en 1918 au moins la veuve d'Alexandre III, Maria Fedorovna, ses filles Olga, Xenia"
1161,"Le_bolchevisme_est_n%C3%A9_en_1903_d%27un_rejet_de_la_violence_terroriste","Le bolchevisme est né en 1903 d'un rejet de la violence terroriste"
1162,"leaf_223","Le vote blanc est un vote confus"
1163,"leaf_224","Le vote blanc n'est pas un vrai vote"
1164,"Les_pratiques_ancestrales_ne_sont_pas_forc%C3%A9ment_bonnes","L'esclavage aussi a duré des millénaires"
1165,"Manger_des_animaux_est_une_pratique_ancestrale","Manger des animaux est une pratique ancestrale"
1166,"J%C3%A9sus_n%27a_jamais_pr%C3%A9tendu_%C3%AAtre_le_Fils_de_Dieu","Jésus n'a jamais prétendu être le Fils de Dieu"
1167,"Les_religions_s%27opposent_sur_la_personne_du_Christ","La personne du Christ"
1168,"leaf_225","L'injustice de la suppression du système de retraite"
1169,"Au_d%C3%A9but_des_ann%C3%A9es_trente_Staline_d%C3%A9nonce_l%27antis%C3%A9mitisme_nazi","Au début des années trente Staline dénonce l'antisémitisme nazi"
1170,"L%C3%A9nine_et_Staline_ont_condamn%C3%A9_l%27antis%C3%A9mitisme","Lénine et Staline ont condamné l'antisémitisme"
1171,"Parmi_les_in%C3%A9dits_de_L%C3%A9nine_retrouv%C3%A9s_apr%C3%A8s_la_chute_de_l%27URSS_on_trouve_un_d%C3%A9cret_de_juillet_1918_intitul%C3%A9_%22Sur_l%27%C3%A9radication_de_l%27antis%C3%A9mitisme%22","Parmi les inédits de Lénine retrouvés après la chute de l'URSS on trouve un décret de juillet 1918 intitulé  'Sur l'éradication de l'antisémitisme'"
1172,"leaf_226","La politique stalinienne intégra et réprima toutes les nationalités"
1173,"leaf_227","Si on ne croit pas en Dieu, alors aucune valeur morale objective ne peut exister"
1174,"leaf_228","Si on ne croit pas en Dieu, alors on vit sans espoir"
1175,"leaf_229","Si on ne croit pas en Dieu, alors on ne reçoit pas l'aide et l'amour de Dieu"
1176,"leaf_230","Si on ne croit pas en Dieu, alors on ira en enfer"
1177,"leaf_231","Croire en Dieu aide à mieux vivre"
1178,"leaf_232","Il est impossible de vivre sans rapport à la transcendance"
1179,"leaf_233","Il est irréaliste de ne pas admettre la finitude et la dépendance humaine"
1180,"leaf_234","La croyance en Dieu permet de grandes oeuvres"
1181,"leaf_235","La croyance en Dieu permet la sainteté"
1182,"leaf_236","C'est grâce à la croyance en Dieu que les humains ont bâti des hôpitaux et prennent soin des plus faibles"
1183,"leaf_237","La croyance en Dieu permet de croire que l'esprit humain touche des vérités objectives"
1184,"leaf_238","La croyance en Dieu est un soutien dans les pires épreuves"
1185,"leaf_239","Ne pas croire en Dieu, c'est ignorer toute une classe de phénomènes"
1186,"leaf_240","La religion encourage le fanatisme"
1187,"leaf_241","La religion endoctrine"
1188,"leaf_242","La religion encourage l'intolérance"
1189,"La_religion_va_%C3%A0_l%27encontre_de_l%27esprit_scientifique","La religion va à l'encontre de l'esprit scientifique"
1190,"leaf_243","La religion sert à justifier une vision hiérarchique des sociétés"
1191,"leaf_244","La religion suppose des lois divines supérieures aux lois humaines"
1192,"leaf_245","La religion conduit à obéir aveuglément à autre chose qu'à la raison"
1193,"leaf_246","La religion conduit à obéir à d'autres humains qui se disent représentants du divin"
1194,"leaf_247","La religion conduit à croire que des pouvoirs qui résident en nous viennent d'un autre"
1195,"leaf_248","La religion est une inversion des valeurs et in fine un nihilisme"
1196,"La_religion_est_fond%C3%A9e_sur_le_sang","La religion est fondée sur le sang"
1197,"La_religion_corrompt","La religion corrompt"
1198,"Le_20_septembre_1919_L%C3%A9nine_conteste_la_terreur_en_rapportant_un_article_am%C3%A9ricain_anti-interventionniste_selon_lequel_en_1918_%22le_gouvernement_finlandais_a_%C3%A9t%C3%A9_beaucoup_plus_terroriste_que_le_gouvernement_bolchevik%22.","Le 20 septembre 1919 Lénine conteste la terreur en rapportant un article américain anti-interventionniste selon lequel en 1918 'le gouvernement finlandais a été beaucoup plus terroriste que le gouvernement bolchevik'."
1199,"Les_2_et_5_d%C3%A9cembre_1919,_il_ne_justifie_pas_le_terrorisme_mais_renvoie_l%27accusation","Les 2 et 5 décembre 1919, il ne justifie pas le terrorisme mais renvoie l'accusation"
1200,"Le_20_aout_1918_L%C3%A9nine_d%C3%A9sapprouve_les_terreurs_fran%C3%A7aise_de_1793_et_britannique_de_1649","Le 20 aout 1918 Lénine désapprouve les terreurs française de 1793 et britannique de 1649"
1201,"M%C3%AAme_les_partisans_d%27une_libert%C3%A9_d%27expression_maximale_admettent_certaines_limites","Même les partisans d'une liberté d'expression maximale admettent certaines limites"
1202,"Le_r%C3%B4le_politique_des_%C3%A9tudiants_a_chang%C3%A9_depuis_les_ann%C3%A9es_1960","Le rôle politique des étudiants a changé depuis les années 1960"
1203,"leaf_249","La science ne poura jamais expliquer certains phénomènes fondamentaux comme la vie ou la conscience"
1204,"L%27ordre_et_la_complexit%C3%A9_du_monde_s%27expliquent_par_la_science","L'ordre et la complexité du monde s'expliquent par la science"
1205,"leaf_250","Le travail peut aussi favoriser les mêmes problèmes"
1206,"Le_ch%C3%B4mage_ne_serait_pas_un_probl%C3%A8me_dans_une_soci%C3%A9t%C3%A9_o%C3%B9_tout_le_monde_aurait_un_revenu_de_base","Le chômage ne serait pas un problème dans une société où tout le monde aurait un revenu de base"
1207,"Les_scientifiques_partisans_du_r%C3%A9chauffement_climatique_subissent_des_pressions","Au contraire, des pressions contre les scientifiques partisans du réchauffement"
1208,"Les_scientifiques_qui_ne_reconnaissent_pas_le_r%C3%A9chauffement_climatique_subissent_des_pressions_et_sont_marginalis%C3%A9s","Les scientifiques qui ne reconnaissent pas le réchauffement climatique subissent des pressions et sont marginalisés"
1209,"leaf_251","Il existe un lobbying des industries pétrolières afin de nier le réchauffemen climatique"
1210,"leaf_252","Le massacre de la famille impériale n'a jamais existé, comme l'ont montré depuis les années 1980  Marina Grey, fille du général Denikine  et Marc Ferro."
1211,"L%C3%A9nine_a_fait_massacrer_la_famille_imp%C3%A9riale","Lénine a fait massacrer la famille impériale"
1212,"L%C3%A9nine_n%27a_fait_allusion_que_deux_fois_en_novembre_1918_et_octobre_1921_%C3%A0_la_nuit_ouralienne_du_16_au_17_juillet_1918,_sans_jamais_n%27%C3%A9voquer_que_la_mort_du_tsar","Lénine n'a fait allusion que deux fois en novembre 1918 et octobre 1921 à la nuit ouralienne du 16 au 17 juillet 1918, sans jamais n'évoquer que la mort du tsar"
1213,"L%C3%A9nine_n%27a_pas_dit_qu%27_%22il_faut_tuer_tous_les_Romanov_c%27est-%C3%A0-dire_une_bonne_centaine%22","Lénine n'a pas dit qu' 'il faut tuer tous les Romanov c'est-à-dire une bonne centaine'"
1214,"leaf_253","Ni sous Lénine ni sous Staline aucun Romanov en exil n'est mort assassiné par le pouvoir bolchevik"
1215,"Tchitcherine,_commissaire_sovi%C3%A9tique_aux_affaires_%C3%A9trang%C3%A8res,_%C3%A9tait_apparent%C3%A9_aux_Romanov","Tchitcherine,  commissaire soviétique aux affaires étrangères, était apparenté aux Romanov"
1216,"Accuser_de_racisme_les_opposants_au_voile_islamique_est_un_pi%C3%A8ge","Accuser de racisme les opposants au voile est un piège"
1217,"leaf_254","L'envoi d'argent dans les pays du Sud ne permet pas de réel développement"
1218,"Les_migrations_appauvrissent_les_pays_du_Sud","Les migrations appauvrissent les pays du Sud"
1219,"L%27argent_envoy%C3%A9_%22au_pays%22_permet_de_maintenir_le_statu_quo_et_les_r%C3%A9gimes_corrompus","L'argent envoyé 'au pays' permet de maintenir le statu quo et les régimes corrompus"
1220,"Les_citoyens_peuvent_se_tromper","Les citoyens peuvent se tromper"
1221,"Le_vote_des_citoyens_fran%C3%A7ais_n%27est_pas_toujours_pris_en_compte","Le vote des citoyens n'est pas toujours pris en compte"
1222,"leaf_255","Les ouvriers sont électoralistes"
1223,"leaf_256","Les ouvriers sont réformistes"
1224,"leaf_257","Les directions du mouvement ouvrier sont complètement intégrées à l'État bourgeois"
1225,"Le_Front_national_n%27est_pas_fasciste_juste_parce_qu%27il_a_la_base_sociale_traditionnelle_du_fascisme","Un critère non suffisant"
1226,"Le_Front_national_a_la_base_sociale_traditionnelle_du_fascisme","Le FN a la base sociale traditionnelle du fascisme"
1227,"Il_y_a_une_infinit%C3%A9_de_Big_Bangs_et_de_Big_Crunches","Il y a une infinité de Big Bangs et de Big Crunches"
1228,"leaf_258","Les prétendues expériences mystiques sont des histoires inventées de toutes pièces"
1229,"Les_pr%C3%A9tendues_exp%C3%A9riences_mystiques_sont_des_v%C3%A9cus_subjectifs_qui_ne_prouvent_pas_l%27existence_de_Dieu","Les prétendues expériences mystiques sont des vécus subjectifs qui ne prouvent pas l'existence de Dieu"
1230,"Les_exp%C3%A9riences_dites_mystiques_sont_dues_%C3%A0_des_troubles_psychiques","Les expériences dites mystiques sont dues à des troubles psychiques"
1231,"Les_exp%C3%A9riences_mystiques_n%27arrivent_qu%27aux_personnes_de_culture_religieuse","Les expériences mystiques n'arrivent qu'aux personnes de culture religieuse"
1232,"Le_christianisme_affirme_qu%27il_y_a_unit%C3%A9_dans_la_diversit%C3%A9_religieuse","Le christianisme affirme qu'il y a unité dans la diversité religieuse"
1233,"Le_juda%C3%AFsme_parle_d%27une_hi%C3%A9rarchisation_des_dieux_des_nations","Le judaïsme parle d'une hiérarchisation des dieux des nations"
1234,"L%27hindouisme_consid%C3%A8re_toutes_les_religions_comme_une_manifestation_divine","L'hindouisme considère toutes les religions comme une manifestation divine"
1235,"Toutes_les_religions_affirment_%C3%AAtre_la_seule_vraie","Toutes les religions affirment être la seule vraie"
1236,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_de_Simbirsk_en_1920_suite_aux_mesures_de_militarisation_du_travail","À Simbirsk"
1237,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_en_1920_suite_aux_mesures_de_militarisation_du_travail","En 1920 suite aux mesures de militarisation du travail"
1238,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_de_l%27Oural_en_1920_suite_aux_mesures_de_militarisation_du_travail","Dans l'Oural"
1239,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_ouvriers_de_Toula_en_1920_suite_aux_mesures_de_militarisation_du_travail","À Toula"
1240,"La_dur%C3%A9e_pour_se_pr%C3%A9valoir_du_d%C3%A9faut_d%27interpr%C3%A9tariat_est_trop_limit%C3%A9e","Durée limitée pour se prévaloir du défaut d'interprétariat"
1241,"La_loi_Collomb_Asile_et_immigration_rend_possible_pour_la_CNDA_d%27annuler_une_d%C3%A9cision_de_l%27OFPRA_et_de_lui_renvoyer_l%27examen_de_la_demande_dans_le_cas_d%27une_erreur_d%27interpr%C3%A8te_imputable_%C3%A0_l%27Office","Possibilité pour la CNDA d'annuler une décision de l'OFPRA et de lui renvoyer l'examen de la demande dans le cas d'une erreur d'interprète imputable à l'Office"
1242,"Makhno_s%27est_appuy%C3%A9_sur_la_petite-bourgeoisie_koulak_r%C3%A9actionnaire","Makhno s'est appuyé sur la petite-bourgeoisie koulak réactionnaire"
1243,"L%C3%A9nine_a_violemment_r%C3%A9prim%C3%A9_les_anarchistes_de_Makhno","Contre Makhno"
1244,"leaf_259","Les pays asiatiques subissent aussi l'impérialisme et pourtant ils ne produisent pas des millions de migrants"
1245,"Les_peuples_africains_sont_pill%C3%A9s_par_leurs_propres_r%C3%A9gimes_et_non_par_le_Nord","Les peuples africains sont pillés par leurs propres régimes et non par le Nord"
1246,"Il_ne_faut_pas_confondre_discours_et_actes","Il ne faut pas confondre discours et actes"
1247,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_le_racisme","Pour lutter contre le racisme"
1248,"L%27interdiction_du_racisme_est_inefficace","L'interdiction ne fait pas reculer le racisme"
1249,"La_lutte_contre_le_racisme_s%27%C3%A9tend_%C3%A0_tout_et_n%27importe_quoi","La lutte contre le racisme s'étend à tout et n'importe quoi"
1250,"Il_faut_lutter_contre_les_v%C3%A9ritables_causes_du_racisme","Il faut lutter contre les véritables causes du racisme"
1251,"Mettre_en_avant_les_dangers_du_revenu_de_base_pour_l%27%C3%A9mancipation_des_femmes_repose_sur_une_opposition_caricaturale_entre_%C2%AB_avoir_un_emploi_%C2%BB_et_%C2%AB_rester_%C3%A0_la_maison_%C2%BB","Une opposition caricaturale entre « avoir un emploi » et « rester à la maison »"
1252,"Le_revenu_de_base_repr%C3%A9sente_un_danger_pour_l%27autonomie_des_femmes","Un danger pour l'autonomie des femmes"
1253,"leaf_260","Le revenu universel n'impose pas du tout la disparition des assurances publiques (chômage, retraite, santé)"
1254,"Il_existe_d%27autres_mod%C3%A8les_d%27enfouissement_r%C3%A9versibles","Il existe d'autres modèles d'enfouissement réversibles"
1255,"Une_alternative_%C3%A0_l%E2%80%99enfouissement_en_d%C3%A9charge","Une alternative à l’enfouissement en décharge"
1256,"leaf_261","Les résidus toxiques de l'incinération sont enfouis"
1257,"leaf_262","Les hommes utilisent ce privilège pour conforter la domination masculine"
1258,"Les_hommes_ont_davantage_de_moyens_d%27%C3%AAtre_entendus_dans_la_soci%C3%A9t%C3%A9","Les hommes ont davantage de moyens d'être entendus dans la société"
1259,"leaf_263","Les hommes n'ont aucun intérêt à dénoncer le sexisme"
1260,"leaf_264","Les hommes devraient donner la parole aux femmes plutôt que de parler à leur place"
1261,"leaf_265","Les femmes sont les mieux placées pour parler des discriminations qu'elles subissent"
1262,"Le_peuple_s%27est_d%C3%A9-syndicalis%C3%A9.","Le peuple s'est dé-syndicalisé."
1263,"De_nouvelles_technologies_peuvent_%C3%A9viter_le_marquage_des_animaux_au_fer_rouge","De nouvelles technologies peuvent éviter cette souffrance"
1264,"La_notion_d%27incitation_%C3%A0_la_haine_est_floue","La notion d'incitation à la haine est floue"
1265,"Il_faut_limiter_la_libert%C3%A9_d%27expression_pour_lutter_contre_les_propos_incitant_%C3%A0_la_haine","Pour lutter contre les propos incitant à la haine"
1266,"Vouloir_%C3%A9radiquer_la_haine_conduit_%C3%A0_un_r%C3%A9gime_de_censure","Vouloir éradiquer la haine conduit à un régime de censure"
1267,"La_haine_est_parfois_n%C3%A9cessaire","La haine est parfois nécessaire"
1268,"#Il_y_a_une_infinit.C3.A9_de_Big_Bang_et_de_Big_Crunch",""
1269,"leaf_266",""
1270,"leaf_267",""
1271,"leaf_268",""
1272,"leaf_269",""
1273,"leaf_270",""
1274,"leaf_271",""
1275,"leaf_272",""
1276,"leaf_273",""
1277,"leaf_274",""
1278,"leaf_275",""
1279,"leaf_276",""
1280,"leaf_277",""
1281,"leaf_278",""
1282,"leaf_279",""
1283,"leaf_280",""
1284,"leaf_281",""
1285,"leaf_282",""
1286,"leaf_283",""
1287,"~w~index.php?title=Existe-t-il_des_univers_multiples_%3F&action=formedit&redlink=1",""
1288,"leaf_284",""
1289,"leaf_285",""
1290,"leaf_286",""
1291,"leaf_287",""
1292,"leaf_288",""
1293,"leaf_289",""
1294,"leaf_290",""
1295,"leaf_291",""
1296,"leaf_292",""
1297,"leaf_293",""
1298,"leaf_294",""
1299,"leaf_295",""
1300,"leaf_296",""
1301,"leaf_297",""
1302,"leaf_298",""
1303,"leaf_299",""
1304,"leaf_300",""
1305,"leaf_301",""
1306,"leaf_302",""
1307,"leaf_303",""
1308,"leaf_304",""
1309,"leaf_305",""
1310,"leaf_306",""
1311,"leaf_307",""
1312,"leaf_308",""
1313,"leaf_309",""
1314,"leaf_310",""
1315,"leaf_311",""
1316,"leaf_312",""
1317,"leaf_313",""
1318,"leaf_314",""
1319,"leaf_315",""
1320,"leaf_316",""
1321,"leaf_317",""
1322,"leaf_318",""
1323,"leaf_319",""
1324,"leaf_320",""
1325,"leaf_321",""
1326,"leaf_322",""
1327,"leaf_323",""
1328,"leaf_324",""
1329,"leaf_325",""
1330,"leaf_326",""
1331,"leaf_327",""
1332,"leaf_328",""
1333,"leaf_329",""
1334,"leaf_330",""
1335,"leaf_331",""
1336,"leaf_332",""
1337,"leaf_333",""
1338,"leaf_334",""
1339,"leaf_335",""
1340,"leaf_336",""
1341,"leaf_337",""
1342,"leaf_338",""
1343,"leaf_339",""
1344,"leaf_340",""
1345,"leaf_341",""
1346,"leaf_342",""
1347,"leaf_343",""
1348,"leaf_344",""
1349,"leaf_345",""
1350,"leaf_346",""
1351,"leaf_347",""
1352,"#5._Il_existe_des_interventions_divines",""
1353,"leaf_348",""
1354,"leaf_349",""
1355,"leaf_350",""
1356,"leaf_351",""
1357,"leaf_352",""
1358,"leaf_353",""
1359,"leaf_354",""
1360,"leaf_355",""
1361,"leaf_356",""
1362,"leaf_357",""
1363,"leaf_358",""
1364,"leaf_359",""
1365,"leaf_360",""
1366,"leaf_361",""
1367,"leaf_362",""
1368,"leaf_363",""
1369,"leaf_364",""
1370,"leaf_365",""
1371,"leaf_366",""
1372,"leaf_367",""
1373,"leaf_368",""
1374,"leaf_369",""
1375,"leaf_370",""
1376,"leaf_371",""
1377,"leaf_372",""
1378,"leaf_373",""
1379,"leaf_374",""
1380,"leaf_375",""
1381,"leaf_376",""
1382,"leaf_377",""
1383,"leaf_378",""
1384,"leaf_379",""
1385,"leaf_380",""
1386,"leaf_381",""
1387,"leaf_382",""
1388,"leaf_383",""
1389,"leaf_384",""
1390,"leaf_385",""
1391,"leaf_386",""
1392,"leaf_387",""
1393,"leaf_388",""
1394,"leaf_389",""
1395,"leaf_390",""
1396,"leaf_391",""
1397,"leaf_392",""
1398,"leaf_393",""
1399,"leaf_394",""
1400,"leaf_395",""
1401,"leaf_396",""
1402,"Les_bolcheviks_ont_accapar%C3%A9_le_pouvoir_des_soviets_une_fois_au_pouvoir","Les bolcheviks ont accaparé le pouvoir des soviets une fois au pouvoir"
1403,"Logiciel_libre_et_open_source_sont_deux_d%C3%A9signations_%C3%A9quivalentes","Logiciel libre et open source sont deux désignations équivalentes"
1404,"Les_logiciels_open-source_ne_sont_pas_n%C3%A9cessairement_des_logiciels_libres","Les logiciels open-source ne sont pas nécessairement des logiciels libres"
1405,"L%27afflux_de_migrants_tire_les_salaires_vers_le_bas","L'afflux de migrants tire les salaires vers le bas"
1406,"L%27afflux_de_migrants_fait_baisser_la_qualit%C3%A9_de_vie_et_monter_les_violences","L'afflux de migrants fait baisser la qualité de vie et monter les violences"
1407,"L%27ins%C3%A9curit%C3%A9_augmente,_car_harc%C3%A8lements,_viols,_agressions_sexistes,_antis%C3%A9mites,_etc.,_sont_commis_par_certains_migrants","L'insécurité augmente à cause des migrants"
1408,"Certains_migrants_v%C3%A9hiculent_de_l%27intol%C3%A9rance_religieuse","Certains migrants véhiculent de l'intolérance religieuse"
1409,"Certains_migrants_v%C3%A9hiculent_un_nouvel_antis%C3%A9mitisme","Certains migrants véhiculent un nouvel antisémitisme"
1410,"leaf_397","En leur donnant de meilleures conditions d'accueil, on n'aurait pas ces problèmes"
1411,"Les_migrants_sont_des_hommes_jeunes,_il_est_normal_qu%27il_y_ait_parmi_eux_une_part_de_d%C3%A9linquant","Les migrants sont des hommes jeunes, il est normal qu'il y ait parmi eux une part de délinquant"
1412,"On_ne_peut_pas_attribuer_aux_migrants_les_agressions_commises_par_les_descendants_d%27immigr%C3%A9s","On ne peut pas attribuer aux migrants les agressions commises par les descendants d'immigrés"
1413,"leaf_398","Le capitalisme ignore le problème de l'épuisement des ressources en pétrole"
1414,"Le_capitalisme_ne_donne_pas_de_r%C3%A9ponse_%C3%A0_l%27%C3%A9puisement_des_ressources_avec_lesquels_la_soci%C3%A9t%C3%A9_et_l%27%C3%A9conomie_fonctionnent","Le capitalisme ne donne pas de réponse à l'épuisement des ressources"
1415,"La_course_%C3%A0_toujours_plus_de_population_est_une_erreur","La course à toujours plus de population est une erreur"
1416,"Les_migrants_relanceront_la_d%C3%A9mographie_en_Europe","Les migrants relanceront la démographie en Europe"
1417,"leaf_399","On peut relancer la démographie par des mesures natalistes, sans migrants"
1418,"Il_faut_prot%C3%A9ger_le_secret_d%C3%A9fense","Par le secret défense"
1419,"leaf_400","Par le secret des affaires"
