,debate_name,debate_num,n,s
1258, Les hommes doivent-ils rejoindre le combat féministe ?,37,852, Les hommes sont socialisés pour être indifférents à la souffrance
1259, Wikipédia est-elle fiable ?,47,47, Wikipédia est-elle fiable ?
1260, La liberté d'expression doit-elle être limitée ?,24,1508," Les droits de l'homme n'interdisent pas les propos racistes, sexistes, etc."
1261, La gauche doit-elle défendre le port du voile islamique ?,23,2364,Les femmes qui refusent de porter le voile sont brimées et opprimées
1262, La liberté d'expression doit-elle être limitée ?,24,2466,Par les brevets
1263, Faut-il légaliser le cannabis ?,11,1314, La loi de 1970 sur les drogues a été conçue en réponse à l'extension du cannabis
1264, Dieu existe-t-il ?,0,2025,
1265, Faut-il accueillir davantage de migrants ?,3,1631, Réserver les emplois aux seuls nationaux représente un danger pour tous
1266, Les footballeurs professionnels sont-ils trop payés ?,36,264, Les impôts sur les salaires des footballeurs professionnels rapportent aux Etats
1267, Faut-il accueillir davantage de migrants ?,3,2450,Les migrants représentent des inconvénients autres qu'économiques
1268, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1506, Les données fondant la thèse de la pause dans le réchauffement climatique sont biaisées
1269, Faut-il légaliser le cannabis ?,11,2167,Certains pays ont légalisé l'utilisation thérapeutique sans que l'utilisation récréative le soit. On peut les dissocier.
1270, Le Front national est-il un parti fasciste ?,29,213, Le Front national est un parti nationaliste
1271, Lénine est-il le précurseur de Staline ?,28,1701, Lénine a violemment réprimé les ouvriers de Petrograd en 1918
1272, Faut-il préserver les Murs à pêches de Montreuil ?,13,521, L'ancienne usine EIF est classée parmi les monuments industriels
1273, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,2155,La révolution viendra des précaires et des chômeurs
1274, Faut-il accueillir davantage de migrants ?,3,1808,Les pays du Sud sont sous le joug des multinationales et des anciens colonisateurs
1275, Faut-il accueillir davantage de migrants ?,3,2240,Les migrants vont peser sur les retraites
1276, Faut-il instaurer un revenu de base ?,9,1167, Il est possible de réduire le taux de chômage dans les pays industrialisés
1277, Faut-il généraliser le vote électronique ?,7,364, Avec le vote électronique il est plus difficile de vérifier l'identité des votants qu'avec le vote papier
1278, La liberté d'expression doit-elle être totale ?,25,1186, Il faut mettre hors la loi ce qui porte préjudice
1279, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1083, Une alternative à l’enfouissement en décharge
1280, Pour ou contre le communisme ?,41,1707, Le capitalisme est tout autant reponsable de la mort de millions de personnes
1281, Faut-il instaurer un revenu de base ?,9,239, Le revenu de base favorise un meilleur rapport au travail
1282, Dieu existe-t-il ? (nouvelle version),1,1, Dieu existe-t-il ? (nouvelle version)
1283, Dieu existe-t-il ? (nouvelle version),1,2539,Le devoir moral s'oppose souvent à l'intérêt biologique des espèces
1284, Une spiritualité rationnelle est-elle possible ?,46,2409,La spiritualité est faite de sentiments
1285, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,432, Etre religieux et communiste révolutionnaire est incompatible
1286, Lénine est-il le précurseur de Staline ?,28,182," Lénine était un être cynique, paranoïaque et avide de pouvoir"
1287, Faut-il arrêter de manger des animaux ?,4,1121, Certaines espèces animales sont invasives
1288, Pour ou contre le communisme ?,41,1722, Les États communistes ont commis des crimes contre l'humanité
1289, Faut-il accueillir davantage de migrants ?,3,1604," On a déjà un taux d'immigrés élevés, on ne peut pas accueillir encore plus de migrants"
1290, Dieu existe-t-il ? (nouvelle version),1,1241, L'exception au principe de raison suffisante mérite une justification
1291, Faut-il instaurer un revenu de base ?,9,1756, Le cas des gagnants du jeu « Win for Life » est biaisé au niveau du montant du revenu
1292, Pour ou contre le capitalisme ?,40,1958,Le capitalisme détériore les liens sociaux
1293, Faut-il incinérer les déchets ménagers à La Réunion ?,8,2393,La règlementation
1294, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1537, Les mendiants dépendent trop des riches pour devenir révolutionnaires
1295, Les hommes doivent-ils rejoindre le combat féministe ?,37,1438, Le pouvoir est encore monopolisé par les hommes
1296, Dieu existe-t-il ?,0,2030,
1297, Faut-il préserver les Murs à pêches de Montreuil ?,13,1319, La mairie de Montreuil cherche des garanties légales pour protéger les Murs à pêches
1298, Dieu existe-t-il ? (nouvelle version),1,417, Dieu existe car il ne peut y avoir une infinité de causes
1299, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1279, La classe ouvrière a toujours été touchée par l'individualisme
1300, Faut-il instaurer un revenu de base ?,9,1410, Le chômage ne serait pas un problème dans une société où tout le monde aurait un revenu de base
1301, Faut-il arrêter de manger des animaux ?,4,352, Supprimer les élevages de ruminants risque de bouleverser de nombreux écosystèmes
1302, La liberté d'expression doit-elle être limitée ?,24,463, Il faut limiter la liberté d'expression pour lutter contre le blasphème
1303, L'Europe occidentale est-elle en déclin ?,19,77, Il existe des contre-pouvoirs en France
1304, Lénine est-il le précurseur de Staline ?,28,1474, Les bolcheviks ont accaparé le pouvoir des soviets une fois au pouvoir
1305, Le Front national est-il un parti fasciste ?,29,745, Le Front national pourrait avoir besoin de milices armées si la situation politique changeait
1306, Le Front national est-il un parti fasciste ?,29,503, Il y a une continuité entre la génération de la « dédiabolisation » du Front national et l'ancienne
1307, La liberté d'expression doit-elle être limitée ?,24,1640, Supprimer le droit d'auteur est une étape vers la société de gratuité
1308, Faut-il privatiser ADP ?,14,163, La privatisation d'ADP serait une mauvaise affaire pour les compagnies aériennes et les voyageurs
1309, Les footballeurs professionnels sont-ils trop payés ?,36,2311,Liberté restreinte
1310, La liberté d'expression doit-elle être limitée ?,24,1312, La liberté d'expression totale n'est le paravent des populistes et des racistes
1311, Lénine est-il le précurseur de Staline ?,28,751, Le manque de démocratie pendant la Révolution russe est un héritage de la société tsariste
1312, Les hommes doivent-ils rejoindre le combat féministe ?,37,844, Les hommes ont intérêt à en finir avec le machisme pour se délivrer de l'injonction à la virilité
1313, Les hommes doivent-ils rejoindre le combat féministe ?,37,2503,Les hommes sont socialisés pour déshumaniser les femmes
1314, Les religions se rejoignent-elles ?,38,918, Les religions cherchent à atteindre l'Ultime
1315, Faut-il légaliser le cannabis ?,11,166, La prohibition du cannabis est inefficace
1316, Faut-il réguler l'anonymat sur Internet ?,15,15, Faut-il réguler l'anonymat sur Internet ?
1317, Faut-il généraliser le vote électronique ?,7,979, Le vote électronique permet de diminuer les coûts des élections des Français à l'étranger
1318, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1329, La paysannerie est trop attachée à la propriété privée
1319, La liberté d'expression doit-elle être totale ?,25,1529, Les individus sont libres
1320, Faut-il privatiser ADP ?,14,2392,Parce que cela pourrait pénaliser Air France par rapport à ses concurrents si les tarifs augmentaient suite à la privatisation
1321, Faut-il généraliser le vote électronique ?,7,314, Le vote électronique favorise la participation aux élections
1322, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1269, La bourgeoisie sait pertinemment que la classe ouvrière existe encore
1323, La liberté d'expression doit-elle être limitée ?,24,2125,"Au contraire, les restrictions de liberté d'expression répriment certaines minorités"
1324, Le réchauffement climatique est-il dû à l'activité humaine ?,34,767, Le réchauffement climatique est dû à l'activité solaire
1325, Faut-il instaurer un revenu de base ?,9,795, Le revenu de base réduit la peur du chômage
1326, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1776, Les entrepreneurs ont intérêt à avoir un personnel de plus en plus formé étant donné le coût des machines
1327, La gauche doit-elle défendre le port du voile islamique ?,23,962, Le voile islamique assigne aux femmes le rôle de reproductrices et de mères au foyer
1328, La liberté d'expression doit-elle être limitée ?,24,1288, La critique des institutions est dangereuse
1329, Les religions se rejoignent-elles ?,38,819, Les divergences religieuses viennent de la conscience illusoire
1330, La liberté d'expression doit-elle être totale ?,25,1071, Tolérer les propos blessants est un mal nécessaire
1331, La liberté d'expression doit-elle être totale ?,25,1311, La liberté d'expression ne se partage pas
1332, Dieu existe-t-il ?,0,2014,
1333, L'Europe occidentale est-elle en déclin ?,19,1969,Confondre la démocratie et le gouvernement représentatif est une imposture historique
1334, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1665, Aucun cas de pollution avéré.
1335, Dieu existe-t-il ? (nouvelle version),1,1712," Le hasard ne peut suffire à expliquer la création, l'adaptation et la complexité des espèces"
1336, La liberté d'expression doit-elle être totale ?,25,1524, Les idéologies dangereuses ne font pas appel à la raison
1337, La liberté d'expression doit-elle être limitée ?,24,1334, La pornographie n'influence pas les comportements
1338, Le Front national est-il un parti fasciste ?,29,219, Le Front national se réclame de la démocratie
1339, Le nucléaire est-il une énergie d'avenir ?,33,2519,La filière électronucléaire s'affranchie des conditions climatiques pour produire
1340, Lénine est-il le précurseur de Staline ?,28,1705, Lénine a violemment réprimé les ouvriers de Toula en 1920 suite aux mesures de militarisation du travail
1341, Faut-il instaurer un revenu de base ?,9,1406, Le capitalisme cognitif est relativement marginal au sein des pays développés
1342, La liberté d'expression doit-elle être totale ?,25,1262, L'interdiction du racisme est inefficace
1343, Dieu existe-t-il ? (nouvelle version),1,1683, L'argument selon lequel Dieu n'existe pas car il n'existe pas de premier instant du temps commet la même erreur que Zénon dans son paradoxe
1344, Faut-il accueillir davantage de migrants ?,3,1819,Les gens sont le jouet de peurs irrationnelles
1345, La gauche doit-elle défendre le port du voile islamique ?,23,562, La campagne contre le voile islamique sert à nous détourner des problèmes sociaux
1346, Les religions se rejoignent-elles ?,38,291, Les religions sont fondées sur la même expérience fondamentale
1347, Les hommes doivent-ils rejoindre le combat féministe ?,37,1515, Les femmes assument la majeure partie des tâches domestiques
1348, Les hommes doivent-ils rejoindre le combat féministe ?,37,1816,Les hommes sont socialisés pour déshumaniser les femmes
1349, Faut-il instaurer un revenu de base ?,9,1950,Les gains de productivité seront plus faibles au 21e siècle
1350, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,137, La loi Collomb Asile et immigration généralise la visioconférence pour les audiences sans le consentement de l'intéressé
1351, Lénine est-il le précurseur de Staline ?,28,1875,"Document sur les cent koulaks à pendre apocryphe : daté ici du 10, ailleurs du 11, contenant par ailleurs une information coupée par des  points de suspension, sur un autre télégramme, à ce jour inexistant."
1352, Les hommes doivent-ils rejoindre le combat féministe ?,37,2476,"C'est la société qui est responsable du sexisme, pas les hommes"
1353, Faut-il instaurer un revenu de base ?,9,433, Financement mensuel et non annuel couplé avec la taxe de financement
1354, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1982,Manifester est trop dangereux
1355, Faut-il instaurer un revenu de base ?,9,434, Financer les systèmes de retraite et d'assurance maladie a été possible malgré ce qu'on en disait
1356, Dieu existe-t-il ?,0,2114,
1357, Les hommes doivent-ils rejoindre le combat féministe ?,37,1872,L'émancipation des femmes doit être l'oeuvre des femmes elles-mêmes
1358, L'Europe occidentale est-elle en déclin ?,19,1106, Beaucoup de personnes ne sont pas inscrites sur les listes électorales en France
1359, Faut-il supprimer les notes à l'école ?,18,1897,Y a t'il besoin de situer précisément des élèves lorsque le but est d'atteindre un niveau ?
1360, La liberté d'expression doit-elle être totale ?,25,1202, Il ne faut pas confondre discours et actes
1361, La religion est-elle compatible avec le marxisme ?,27,1804,On peut être religieux et participer à des luttes
1362, Dieu existe-t-il ? (nouvelle version),1,2423,Les prétendus miracles reposent sur des expériences frauduleuses
1363, Faut-il accueillir davantage de migrants ?,3,1680, François Hollande a renoncé à sa promesse électorale du droit de vote des étrangers aux municipales
1364, La liberté d'expression doit-elle être totale ?,25,457, Il faut développer l'éducation à l'esprit critique
1365, Dieu existe-t-il ? (nouvelle version),1,2150,Les prétendues interventions divines reposent sur des éléments de preuve qui ne sont pas fiables
1366, Faut-il généraliser le vote électronique ?,7,317, Le vote électronique permet la mise en oeuvre de méthodes de vote sophistiquées
1367, Faut-il instaurer un revenu de base ?,9,794, Le revenu de base permet une simplification administrative et fiscale
1368, Faut-il généraliser le vote électronique ?,7,1589, Le vote électronique ne réduit pas systématiquement l'abstention
1369, Le Front national est-il un parti fasciste ?,29,1132," D'après les définitions ci-dessus, le Front national est donc bien un parti nationaliste"
1370, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,104, Il y a un potentiel révolutionnaire dans la jeunesse et les travailleurs des banlieues
1371, La religion est-elle compatible avec le marxisme ?,27,1885,De nombreux religieux ou courants religieux ont été marxistes
1372, La liberté d'expression doit-elle être limitée ?,24,1104, Beaucoup d'opinions n'auraient pas à être discutées si on ne doit pas discuter des opinions absurdes
1373, Lénine est-il le précurseur de Staline ?,28,129, La guerre était au coeur du projet de Lénine
1374, Pour ou contre le capitalisme ?,40,1945,Le capitalisme encourage le mensonge et la tromperie
1375, Les religions se rejoignent-elles ?,38,919, Les religions ont pour origine le sentiment océanique
1376, Faut-il accueillir davantage de migrants ?,3,301, Les solutions visant à limiter l'immigration sont inhumaines et barbares
1377, Faut-il instaurer un revenu de base ?,9,2436,Un montant insuffisant
1378, Dieu existe-t-il ?,0,2024,
1379, Faut-il accueillir davantage de migrants ?,3,1283, La colonisation n'a pas ruiné l'Afrique
1380, L'Europe occidentale est-elle en déclin ?,19,2284,
1381, Dieu existe-t-il ?,0,2080,
1382, Faut-il boycotter Facebook ?,5,1043, On ne peut pas rejeter le boycott en raison de l'existence de problèmes plus importants
1383, Dieu existe-t-il ?,0,2033,
1384, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1981,Les ouvriers ne peuvent pas se permettre de perdre de l'argent ou de perdre leur emploi
1385, Faut-il accueillir davantage de migrants ?,3,2276,"Quelles que soient les mesures de fermeture des frontières, les populations pauvres migreront quand même"
1386, Faut-il accueillir davantage de migrants ?,3,2166,Ils vont adopter nos moeurs
1387, Le Front national est-il un parti fasciste ?,29,917, Les relations entre les groupes fascistes et le Front national sont devenues moins visibles mais sont toujours présentes
1388, Dieu existe-t-il ?,0,1994,
1389, Faut-il instaurer un revenu de base ?,9,1462, Le revenu de base se justifie comme un héritage des générations passées
1390, Faut-il accueillir davantage de migrants ?,3,875, Les migrants ne sont pas réellement employables
1391, L'Europe occidentale est-elle en déclin ?,19,1973,La démocratie directe n'est pas applicable dans une société reposant sur la spécialisation des tâches
1392, Dieu existe-t-il ? (nouvelle version),1,1336, La présentation de l'argument du kalam est trompeuse
1393, Faut-il généraliser le vote électronique ?,7,1660, Un système de tickets imprimés peut être mis en place pour chaque vote d'une machine à voter
1394, Pour ou contre le capitalisme ?,40,2136,Le développement capitaliste contribue à la destruction de la biosphère
1395, La liberté d'expression doit-elle être limitée ?,24,610, La liberté d'expression conditionne l'exercice de nombreux autres droits
1396, Les religions se rejoignent-elles ?,38,935, Les religions théistes et non dualistes préconisent des attitudes différentes
1397, Faut-il instaurer un revenu de base ?,9,789, Le revenu de base permet de relancer la consommation
1398, Espaces ou tabulations ?,2,2212,Chacun peut régler la taille des tabulations à sa convenance
1399, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,117, La classe ouvrière a perdu sa combativité
1400, Faut-il arrêter de manger des animaux ?,4,559, L'utilisation de médicaments et d'hormones sur les animaux est toxique pour l'homme
1401, Faut-il arrêter de manger des animaux ?,4,2446,L'utilisation de médicaments et d'hormones sur les animaux n'est pas systématique
1402, Faut-il instaurer un revenu de base ?,9,1966,Le danger écologique d'un financement fondé sur la consommation
1403, Les hommes doivent-ils rejoindre le combat féministe ?,37,2563,Les femmes sont les mieux placées pour parler des discriminations qu'elles subissent
1404, Lénine est-il le précurseur de Staline ?,28,1322, La militarisation du travail est une préfiguration sous Lénine du travail forcé instauré par Staline
1405, L'Europe occidentale est-elle en déclin ?,19,811, Les citoyens français se désintéressent de la politique
1406, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,599, La faiblesse des organisations ouvrières actuelles n'empêchera pas leur reconstruction
1407, Faut-il accueillir davantage de migrants ?,3,1447, Le regroupement familial permettra leur intégration
1408, Pour ou contre le capitalisme ?,40,2493,Le capitalisme conduit à une uniformisation du monde
1409, Dieu existe-t-il ?,0,2057,
1410, Faut-il généraliser le vote électronique ?,7,1188, Il faut savoir garder du suspense pour connaitre les résultats d'un vote
1411, Faut-il boycotter Facebook ?,5,64, Facebook est le réseau social utilisé par la majorité des gens
1412, Faut-il préserver les Murs à pêches de Montreuil ?,13,447, Il est possible de construire un écoquartier dans les Murs à pêches de Montreuil
1413, L'Europe occidentale est-elle en déclin ?,19,1215, Il y a une tendance à la bipolarisation des partis en France
1414, Le Front national est-il un parti fasciste ?,29,747, Le Front national tend vers un régime autocratique tel que celui de Poutine
1415, Lénine est-il le précurseur de Staline ?,28,2389,
1416, La liberté d'expression doit-elle être limitée ?,24,1422, Le djihadisme s'alimente des politiques agressives de l'Occident
1417, La liberté d'expression doit-elle être totale ?,25,1548, Les oeuvres immorales abaissent la pensée
1418, Lénine est-il le précurseur de Staline ?,28,692, Lénine a pratiqué la prise d'otages
1419, La gauche doit-elle défendre le port du voile islamique ?,23,2271,Des femmes se battent en France pour ne pas le porter
1420, Faut-il légaliser le cannabis ?,11,1223, L'absence de garantie sur la qualité du produit présente elle-même des risques
1421, Faut-il préférer les logiciels libres ?,12,269, Les logiciels libres comportent une sécurité accrue
1422, Les hommes doivent-ils rejoindre le combat féministe ?,37,1855,La virilité n'a pas que des mauvais côtés
1423, Dieu existe-t-il ?,0,2077,
1424, Lénine est-il le précurseur de Staline ?,28,1706, Lénine a violemment réprimé les ouvriers en 1918 suite à la dissolution des soviets tenus par des opposants
1425, Faut-il accueillir davantage de migrants ?,3,490, Il ne faut pas confondre 'migrants récents' et 'immigrés de longue date'
1426, Lénine est-il le précurseur de Staline ?,28,684, Lénine a instauré un culte du chef
1427, La liberté d'expression doit-elle être totale ?,25,2354,Comparaison fallacieuse. C'est également typique des régimes démocratiques.
1428, Lénine est-il le précurseur de Staline ?,28,1471, Les bolchéviks ont dû réprimer le soulèvement des marins de Kronstadt pour préserver la révolution
1429, Dieu existe-t-il ? (nouvelle version),1,1942,Les Révélations montrent que le Créateur s'intéresse aux humains
1430, Lénine est-il le précurseur de Staline ?,28,2449,La démocratie bourgeoise est la dictature de la bourgeoisie
1431, La liberté d'expression doit-elle être limitée ?,24,1123, Certaines minorités ont un pouvoir démesuré
1432, La liberté d'expression doit-elle être totale ?,25,1040, On ne peut pas empêcher les gens de penser ce qu'ils veulent
1433, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,119, La classe ouvrière est la classe la plus à même de devenir révolutionnaire
1434, Faut-il instaurer un revenu de base ?,9,2512,Faire de nécessité vertu
1435, Le Front national est-il un parti fasciste ?,29,1012, Marine Le Pen a fait partie en 2007 d'un groupe parlementaire européen avec des néofascistes
1436, Lénine est-il le précurseur de Staline ?,28,673, Lénine a construit un parti-État
1437, Les footballeurs professionnels sont-ils trop payés ?,36,1565, Les responsabilités des footballeurs professionnels sont importantes
1438, Faut-il arrêter de manger des animaux ?,4,910, Les produits allergènes ne sont spécifiques à l'alimentation sans viande
1439, La liberté d'expression doit-elle être totale ?,25,88, Il faut limiter la liberté d'expression pour protéger l'État et les entreprises
1440, Dieu existe-t-il ? (nouvelle version),1,1902,La conscience est une propriété émergente du cerveau
1441, Dieu existe-t-il ? (nouvelle version),1,1933,Dieu est à l'image de l'homme parce que l'homme est à l'image de Dieu
1442, Le Front national est-il un parti fasciste ?,29,856, Les Le Pen participent à des évènements néonazis
1443, Les religions se rejoignent-elles ?,38,254, Les expériences spirituelles divergent
1444, Le logiciel libre est-il en déclin ?,30,858, Les logiciels open-source ne sont pas nécessairement des logiciels libres
1445, Les religions se rejoignent-elles ?,38,928, Les religions s'opposent sur la personne du Christ
1446, La liberté d'expression doit-elle être totale ?,25,1104, Beaucoup d'opinions n'auraient pas à être discutées si on ne doit pas discuter des opinions absurdes
1447, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,393, Dans la lutte contre l'islamophobie il y a des organisations faisant du prosélytisme religieux
1448, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1741, Le travail intellectuel est de plus en plus spécialisé
1449, Faut-il préserver les Murs à pêches de Montreuil ?,13,485, Il n'y a pas besoin de préserver l'ensemble des Murs à pêches pour préserver leurs savoir-faire
1450, Dieu existe-t-il ? (nouvelle version),1,1560, Les prétendus miracles sont des illusions du cerveau humain
1451, Dieu existe-t-il ?,0,360,
1452, La gauche doit-elle défendre le port du voile islamique ?,23,1044, On ne peut pas simplement penser en termes de liberté individuelle sur la question du voile
1453, Faut-il arrêter de manger des animaux ?,4,1011, Manger des animaux n'est pas la seule façon pour reconnaitre son animalité
1454, Les footballeurs professionnels sont-ils trop payés ?,36,1874,Des métiers moins bien payés présentent aussi des risques
1455, Faut-il boycotter Facebook ?,5,5, Faut-il boycotter Facebook ?
1456, La liberté d'expression doit-elle être totale ?,25,993, Limiter la liberté d'expression conduit à étouffer la contestation
1457, La gauche doit-elle défendre le port du voile islamique ?,23,23, La gauche doit-elle défendre le port du voile islamique ?
1458, Dieu existe-t-il ? (nouvelle version),1,2299,"Si l'ordre était une projection de l'esprit humain, la prédiction scientifique serait impossible"
1459, Faut-il légaliser le cannabis ?,11,1154," En cas de légalisation du cannabis, les trafics se reporteraient sur d'autres produits, à moins de légaliser toutes les drogues, ce qui parait difficile"
1460, La gauche doit-elle défendre le port du voile islamique ?,23,1625," Pour affirmer que le voile islamique libère, il faut refuser de voir la situation des femmes voilées dans des pays comme l'Iran ou l'Afghanistan"
1461, Dieu existe-t-il ? (nouvelle version),1,1287," La création, l'adaptation et la complexité des espèces s'expliquent par la théorie de la sélection naturelle"
1462, L'Europe occidentale est-elle en déclin ?,19,1968,L'élection est aristocratique
1463, Faut-il accueillir davantage de migrants ?,3,2132,"Nous n'avons d'obligation juridique qu'envers les réfugiés de guerre, pas envers les réfugiés économiques"
1464, Faut-il légaliser le cannabis ?,11,625, La loi de 1970 sur les drogues est difficilement applicable
1465, Faut-il privatiser ADP ?,14,14, Faut-il privatiser ADP ?
1466, Faut-il se faire vacciner ?,16,1918,Lien entre le ROR et l'autisme
1467, Faut-il préserver les Murs à pêches de Montreuil ?,13,98, Il faut reconvertir l'ancienne usine EIF des Murs à pêches de Montreuil
1468, Les hommes doivent-ils rejoindre le combat féministe ?,37,2504,La solidarité masculine est construite sur le dénigrement et l'exclusion des femmes
1469, La liberté d'expression doit-elle être totale ?,25,1326, La notion d'injure est floue
1470, Faut-il instaurer un revenu de base ?,9,787, Le revenu de base permet de réduire le chômage
1471, Faut-il arrêter de manger des animaux ?,4,331, Manger des animaux habitue à la cruauté
1472, Lénine est-il le précurseur de Staline ?,28,1372, Lénine a théorisé l'épuration du parti
1473, Dieu existe-t-il ?,0,2078,
1474, Lénine est-il le précurseur de Staline ?,28,1399, Lénine n'a pas combattu sur le front
1475, Faut-il accueillir davantage de migrants ?,3,495," Il y a des problèmes avec les enfants des immigrés, cela incite à ne pas accueillir de nouveaux migrants"
1476, La gauche doit-elle défendre le port du voile islamique ?,23,1627, Prétendre que le féminisme est compatible avec le voile est un sophisme
1477, Pour ou contre le capitalisme ?,40,530, L'efficacité est une notion subjective
1478, Faut-il incinérer les déchets ménagers à La Réunion ?,8,1089, Une règlementation rigoureuse
1479, Faut-il préserver les Murs à pêches de Montreuil ?,13,13, Faut-il préserver les Murs à pêches de Montreuil ?
1480, Faut-il supprimer les notes à l'école ?,18,1899,L'absence de notes ne garantit pas qu'un élève tend à s'améliorer
1481, La liberté d'expression doit-elle être limitée ?,24,1609, On ne peut accepter les contenus opposés aux valeurs qui fondent notre société
1482, Lénine est-il le précurseur de Staline ?,28,709, Lénine était guidé par la volonté de puissance
1483, Faut-il instaurer un revenu de base ?,9,2153,Le PIB ne mesure pas le bien-être
1484, La liberté d'expression doit-elle être totale ?,25,618, La liberté d'expression est optimale dans les démocraties occidentales
1485, Lénine est-il le précurseur de Staline ?,28,700, Lénine a théorisé la dictature
1486, Dieu existe-t-il ? (nouvelle version),1,2273,Les lois de la nature sont des constructions de l'esprit humain
1487, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,143, La loi Collomb Asile et immigration réduit le délai initial du dépôt de la demande d'asile
1488, La croyance en Dieu est-elle bénéfique ?,22,1834,Il est irréaliste de ne pas admettre la finitude et la dépendance humaine
1489, Faut-il légaliser le cannabis ?,11,655, La prohibition du cannabis ne fait pas de distinction entre usage simple et toxicomanie
1490, Dieu existe-t-il ?,0,2053,
1491, Pour ou contre le capitalisme ?,40,401, Des centaines de millions de personnes souffrent de maladies qu'on sait soigner
1492, La liberté d'expression doit-elle être limitée ?,24,1530, Les injures ne sont pas des actes
1493, Dieu existe-t-il ? (nouvelle version),1,639, La notion d'ordre est une projection de l'esprit humain
1494, Faut-il supprimer les notes à l'école ?,18,2479,Les notes découragent
1495, Faut-il généraliser le vote électronique ?,7,311, Le vote électronique est invérifiable et opaque
1496, Dieu existe-t-il ? (nouvelle version),1,2314,Le langage humain est un produit de l'évolution darwinienne
1497, Faut-il supprimer les notes à l'école ?,18,2478,Les notes motivent surtout les meilleurs
1498, L'Europe occidentale est-elle en déclin ?,19,2264,La France a été condamné de multiples fois récemment par la Cour Européenne des Droits de l'Homme
1499, Dieu existe-t-il ? (nouvelle version),1,2454,Certains cas de sauts évolutifs sont déjà expliqués
1500, Lénine est-il le précurseur de Staline ?,28,1639," Staline exercait, dans les années 1930 en période de paix, la terreur contre des camarades, souvent anciens compagnons de Lénine"
1501, Faut-il légaliser le cannabis ?,11,650, La prohibition du cannabis entraîne une perte importante de recettes pour l'Etat et laisser se développer un marché échappant à toute taxe revient même à le subventionner
1502, Pour ou contre le communisme ?,41,2462,Le communisme n'offre pas d'incitation au travail
1503, La croyance en Dieu est-elle bénéfique ?,22,22, La croyance en Dieu est-elle bénéfique ?
1504, Le nucléaire est-il une énergie d'avenir ?,33,2520,Le nucléaire à une emprise au sol faible au vue de l'énergie produite.
1505, Faut-il généraliser le vote électronique ?,7,1534, Les machines à voter nécessitent des assesseurs
1506, L'Europe occidentale est-elle en déclin ?,19,566, La Cinquième République est monarchique
1507, Faut-il instaurer un revenu de base ?,9,792, Le revenu de base permet de valoriser les activités bénévoles
1508, Dieu existe-t-il ?,0,2097,
1509, Faut-il instaurer un salaire à vie ?,10,242, Le salaire à vie permet d'en finir avec la misère et la pauvreté
1510, Dieu existe-t-il ? (nouvelle version),1,1909,"Si la Providence existait, elle éviterait bien des évènements injustes"
1511, Le Front national est-il un parti fasciste ?,29,2259,Le FN n'a pas intérêt à se réclamer du fascisme
1512, Faut-il instaurer un revenu de base ?,9,1744, Mettre en avant les dangers du revenu de base pour l'émancipation des femmes repose sur une opposition caricaturale entre « avoir un emploi » et « rester à la maison »
1513, Faut-il boycotter Facebook ?,5,66, Facebook est un instrument de propagande
1514, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,909, Les préconisations de Stanislas Dehaene en matière d'éducation n'ont pas été validées
1515, Pour ou contre le projet de loi Collomb Asile et immigration ?,42,538, L'extension de la réunification familiale de la loi Collomb pose des difficultés quant à la preuve des états civils
1516, Faut-il préserver les Murs à pêches de Montreuil ?,13,940, Les sols des Murs à pêches de Montreuil sont pollués
1517, La gauche doit-elle défendre le port du voile islamique ?,23,966, Le voile islamique protège les femmes des pressions exercées par les hommes
1518, Faut-il légaliser le cannabis ?,11,606, La légalisation du cannabis mettrait fin aux trafics
1519, La liberté d'expression doit-elle être limitée ?,24,89, Il faut limiter la liberté d'expression pour respecter la propriété intellectuelle
1520, La liberté d'expression doit-elle être limitée ?,24,85, Il faut limiter la liberté d'expression pour lutter contre les contenus choquants
1521, Faut-il accueillir davantage de migrants ?,3,1063," Refuser d'accueillir les migrants, c'est comme refuser d'accueillir les juifs en 1940"
1522, Faut-il légaliser le cannabis ?,11,631," La lutte contre les trafics de cannabis coûte cher, et c'est un échec"
1523, La liberté d'expression doit-elle être limitée ?,24,1487, Les êtres humains sont irrationnels
